Index,Stage,StageName,SpeedIncrement,FigureCount,ComboMission,ColorMission,ShapeMission,GoldReward
0,10001,1-1,0.05,3,3,5,5,0
1,10002,1-2,0.051,3,3,5,5,0
2,10003,1-3,0.052,3,3,5,5,0
3,10004,1-4,0.053,3,3,5,5,0
4,10005,1-5,0.054,3,3,5,5,0
5,10006,1-6,0.055,3,3,5,5,0
6,10007,1-7,0.056,3,3,5,5,0
7,10008,1-8,0.057,3,3,5,5,0
8,10009,1-9,0.058,3,3,5,5,0
9,10010,1-10,0.059,3,0,0,0,0
10,20001,2-1,0.06,4,3,6,6,0
11,20002,2-2,0.061,4,3,6,6,0
12,20003,2-3,0.062,4,3,6,6,0
13,20004,2-4,0.063,4,3,6,6,0
14,20005,2-5,0.064,4,3,6,6,0
15,20006,2-6,0.065,4,3,6,6,0
16,20007,2-7,0.066,4,3,6,6,0
17,20008,2-8,0.067,4,3,6,6,0
18,20009,2-9,0.068,4,3,6,6,0
19,20010,2-10,0.069,4,0,0,0,0
20,30001,3-1,0.07,5,3,7,7,0
21,30002,3-2,0.071,5,3,7,7,0
22,30003,3-3,0.072,5,3,7,7,0
23,30004,3-4,0.073,5,3,7,7,0
24,30005,3-5,0.074,5,3,7,7,0
25,30006,3-6,0.075,5,3,7,7,0
26,30007,3-7,0.076,5,3,7,7,0
27,30008,3-8,0.077,5,3,7,7,0
28,30009,3-9,0.078,5,3,7,7,0
29,30010,3-10,0.079,5,0,0,0,0
